# Time-compressed, linearly interpolated version of the three requested trajectories.
time_s,ue_id,x,y,z,active
0.00,ue1,-155,-100,1.5,true
0.01,ue1,-155,-92,1.5,true
0.02,ue1,-155,-84,1.5,true
0.03,ue1,-155,-76,1.5,true
0.04,ue1,-155,-68,1.5,true
0.05,ue1,-155,-60,1.5,true
0.06,ue1,-155,-52,1.5,true
0.07,ue1,-155,-44,1.5,true
0.08,ue1,-155,-36,1.5,true
0.09,ue1,-155,-28,1.5,true
0.10,ue1,-155,-20,1.5,true
0.00,ue2,23,-174,1.5,true
0.01,ue2,14.4,-174,1.5,true
0.02,ue2,5.8,-174,1.5,true
0.03,ue2,-2.8,-174,1.5,true
0.04,ue2,-11.4,-174,1.5,true
0.05,ue2,-20,-174,1.5,true
0.06,ue2,-28,-174,1.5,true
0.07,ue2,-36,-174,1.5,true
0.08,ue2,-44,-174,1.5,true
0.09,ue2,-52,-174,1.5,true
0.10,ue2,-60,-174,1.5,true
0.00,ue3,-47,-3,1.5,true
0.01,ue3,-53.6,-18.4,1.5,true
0.02,ue3,-60.2,-33.8,1.5,true
0.03,ue3,-66.8,-49.2,1.5,true
0.04,ue3,-73.4,-64.6,1.5,true
0.05,ue3,-80,-80,1.5,true
0.06,ue3,-86,-96,1.5,true
0.07,ue3,-92,-112,1.5,true
0.08,ue3,-98,-128,1.5,true
0.09,ue3,-104,-144,1.5,true
0.10,ue3,-110,-160,1.5,true
